fname,filtered_sound,mfcc
Bunlabelledtest__107_1305654946865_D.wav,"[ 0.00385902  0.00350316  0.00315059 ... -0.02342013 -0.02177092
 -0.02016958]","[[-4.90026845e+02 -4.74581852e+02 -4.87916641e+02 ... -4.65756268e+02
  -4.75537960e+02 -4.13488427e+02]
 [ 1.47056784e+02  1.67578758e+02  1.54564487e+02 ...  1.82233798e+02
   1.69388813e+02  1.47407305e+02]
 [ 7.81918812e+01  9.13163406e+01  9.08303522e+01 ...  1.09981364e+02
   1.00699615e+02  5.21459477e+01]
 ...
 [ 3.20601773e+00  3.45808730e+00  3.45919389e+00 ...  3.46062463e+00
   9.61327799e-01  3.54463444e+00]
 [-1.57405286e-01  2.69078143e+00  1.64211563e+00 ...  5.74043713e+00
   6.39403164e-01  2.42961546e+00]
 [-1.72694934e+00  8.93942819e-01  2.11797807e-03 ...  8.01322438e+00
   1.82101967e+00  1.67556683e+00]]"
Bunlabelledtest__108_1305654420093_C.wav,"[ 0.00186983  0.00057677 -0.00067474 ...  0.01245386  0.01103983
  0.00958335]","[[-5.18673610e+02 -5.15544532e+02 -5.12485340e+02 ... -4.93887411e+02
  -4.85107703e+02 -4.52657676e+02]
 [ 1.66039694e+02  1.80959970e+02  1.85642149e+02 ...  2.13284200e+02
   2.21824196e+02  1.80347372e+02]
 [ 6.60749703e+01  8.77394190e+01  9.09280855e+01 ...  1.18904773e+02
   1.22252691e+02  6.51952311e+01]
 ...
 [-1.97867169e-01  5.21874024e-01  3.05993273e+00 ... -7.81542659e+00
  -1.13715298e+00  1.88354041e+00]
 [-3.04243802e+00  2.39591178e+00  7.89650780e+00 ...  2.37882987e+00
   2.62157338e+00  3.19528507e+00]
 [-3.93937121e+00  4.25569820e+00  7.85949495e+00 ...  6.53154089e+00
   3.66892880e+00  3.80127549e+00]]"
Bunlabelledtest__109_1305653646620_B.wav,[0.01096174 0.01276048 0.01453953 ... 0.01650847 0.01593719 0.01543776],"[[-408.57352544 -402.18760307 -402.16840355 ... -403.25538974
  -405.09591801 -398.38343389]
 [ 132.77940569  144.77831879  146.12246301 ...  146.10268307
   141.83755528  135.40939747]
 [  75.45128198   89.26561586   92.90025791 ...   95.78452504
    88.41117521   65.15498376]
 ...
 [   1.05007634   -3.44215632   -4.29402837 ...   -1.26679164
     2.68901017   10.68732923]
 [  -4.22841119   -5.10962196   -6.16218088 ...   -1.80713915
     2.38454308    8.82047332]
 [  -4.06555303   -4.27016061   -4.05568762 ...    2.17353052
     3.82701708    5.00630983]]"
Bunlabelledtest__109_1305653646620_D.wav,"[ 0.00210524  0.00049503 -0.0010539  ... -0.03202483 -0.03052338
 -0.02907912]","[[-421.31477368 -409.07608456 -413.96188415 ... -420.88944387
  -422.35040247 -399.38158104]
 [ 155.59552468  170.10471161  165.4652385  ...  163.03330801
   160.74498995  160.62068813]
 [  82.09003059   89.02491229   88.89769607 ...  101.85357388
    99.31812467   69.95516253]
 ...
 [   1.52965876   -0.81492451   -3.21270557 ...   -4.8319408
    -7.83784135   -1.66941725]
 [   4.11741374    2.93537791   -0.88952101 ...   -5.97156995
    -8.14863374   -3.06584211]
 [   5.4439642     6.89139112    3.87347868 ...   -4.04120419
    -4.2875895    -0.78315937]]"
Bunlabelledtest__109_1305653972028_B.wav,"[ 0.00080336  0.00125928  0.00169906 ... -0.01282312 -0.01063432
 -0.00838282]","[[-4.70171636e+02 -4.54763568e+02 -4.57010760e+02 ... -4.57832445e+02
  -4.59552998e+02 -4.49469910e+02]
 [ 1.32646090e+02  1.50249474e+02  1.46091387e+02 ...  1.45295302e+02
   1.44180154e+02  1.44540479e+02]
 [ 8.00247311e+01  8.80676043e+01  8.19555045e+01 ...  8.24769195e+01
   8.45694427e+01  6.70911352e+01]
 ...
 [-8.29724941e-01 -2.88173616e+00 -1.28051237e+00 ... -2.71699923e+00
  -3.87689892e+00 -1.08732937e-01]
 [-3.86672758e-01 -2.36140905e+00  5.49105663e-01 ... -2.52794088e+00
  -1.19562879e+00  8.76035583e-01]
 [ 2.40325841e+00 -4.91979002e-01  3.57688382e+00 ... -3.04666595e+00
   9.04350858e-02 -3.53091103e-01]]"
Bunlabelledtest__109_1305653972028_D.wav,[0.00161614 0.00174338 0.00193245 ... 0.02398536 0.01924283 0.01435728],"[[-4.76513894e+02 -4.87448760e+02 -5.14968234e+02 ... -5.43161797e+02
  -5.33653865e+02 -4.24796921e+02]
 [ 2.55429657e+02  2.48020195e+02  2.24317107e+02 ...  1.96663106e+02
   2.05098817e+02  1.87374917e+02]
 [ 9.01475461e+01  9.67503750e+01  1.00652175e+02 ...  1.00649357e+02
   1.01829184e+02  5.82861031e+01]
 ...
 [-2.60288728e+00 -1.36081977e+00 -4.01066296e+00 ... -1.05427110e+01
  -4.84327725e+00 -5.27049957e+00]
 [-1.96692038e+00 -1.32017893e+00  2.69028734e+00 ... -6.29582086e+00
  -3.06012831e+00 -4.58139630e+00]
 [-4.63552492e-01 -1.08056822e+00  4.29730115e+00 ... -4.73401566e+00
  -4.34934768e+00 -4.24240742e+00]]"
Bunlabelledtest__110_1305655332337_D.wav,"[-4.42005998e-03 -3.79870870e-03 -3.17489470e-03 ...  3.97010432e-04
  2.36889221e-04  9.16237091e-05]","[[-5.12347464e+02 -5.05248580e+02 -4.84242971e+02 ... -5.15811912e+02
  -5.19134427e+02 -5.35610369e+02]
 [ 1.53714315e+02  1.82631017e+02  2.14743327e+02 ...  1.73800799e+02
   1.69617865e+02  1.50942670e+02]
 [ 5.50110264e+01  8.50208528e+01  1.17052908e+02 ...  8.55650791e+01
   8.25567329e+01  7.35493025e+01]
 ...
 [ 6.78880340e-01  3.57557646e+00 -2.03648971e+00 ... -6.36576603e-01
  -3.71384172e+00 -1.09845532e+01]
 [-5.69940209e-01  1.71637021e+00  2.47303437e+00 ...  7.00811134e+00
   3.34576126e+00 -2.14936525e+00]
 [-1.36342640e-02 -7.13160718e-01  2.35834242e+00 ...  5.91106534e+00
   3.80862615e+00  1.23404770e+00]]"
Bunlabelledtest__112_1306243000964_C.wav,"[ 0.00646444  0.00617269  0.0059343  ... -0.01912427 -0.01644886
 -0.01369138]","[[-400.19622109 -374.80868321 -371.49104318 ... -382.22931193
  -381.79829713 -380.62127791]
 [ 108.02094546  136.64179955  140.42948972 ...  130.80178904
   130.61387701  126.97827393]
 [  73.36858581   84.91813997   87.06871482 ...   89.35507123
    87.75787194   76.19075741]
 ...
 [   3.70356982    4.61218728    2.63912148 ...    8.55774932
     8.72527434    2.84749885]
 [   0.65352939    2.90772442    3.51014683 ...    3.52600636
     3.67281741   -1.60134178]
 [  -0.8905514     3.5972695     4.7470222  ...    2.65946348
     2.01279725   -3.50481508]]"
Bunlabelledtest__113_1306244002866_C.wav,"[-0.01982609 -0.01994586 -0.02004429 ...  0.01184671  0.00958638
  0.00725681]","[[-404.80436193 -443.3341843  -493.46104647 ... -460.17558413
  -479.29490625 -472.55752724]
 [ 132.16076782  165.98347035  174.18509985 ...  213.02685755
   188.74986415  181.55216699]
 [  31.56092929   46.61639554   94.3467411  ...  114.10729559
    97.36381082   72.24836782]
 ...
 [   9.92142162   10.63925438   11.64470354 ...    7.76096434
     8.36020054    1.70343138]
 [   6.56658678    8.95392138   10.76202022 ...   10.51194158
    11.24849647    2.20546467]
 [   4.50367848    8.6008085     7.54273389 ...    9.58478321
     9.31170226    2.21414577]]"
Bunlabelledtest__115_1306259437619_D.wav,"[ 0.00252775  0.00099007 -0.00049266 ... -0.00096984 -0.00086278
 -0.00073491]","[[-3.60275350e+02 -3.48259034e+02 -3.55291784e+02 ... -3.29871050e+02
  -3.36400323e+02 -3.54231519e+02]
 [ 8.88043251e+01  1.02348874e+02  9.58361408e+01 ...  1.17882289e+02
   1.13073887e+02  9.47557248e+01]
 [ 5.64149615e+01  6.22720038e+01  6.30042508e+01 ...  5.52299315e+01
   5.95592620e+01  5.60293037e+01]
 ...
 [ 2.35985544e+00  2.56997131e-01 -8.28085170e-01 ...  4.09505379e+00
   3.48853262e+00  6.13275342e+00]
 [ 4.46560974e+00  4.05312478e+00  1.07295107e+00 ...  7.85407856e+00
   8.29669462e+00  7.79717091e+00]
 [ 7.72016526e+00  8.60454367e+00  6.37113202e+00 ...  9.83987091e+00
   1.33562440e+01  1.19411557e+01]]"
Bunlabelledtest__116_1306258689913_B.wav,"[-1.22954753e-03 -6.12240611e-04 -1.89563715e-06 ...  2.08444377e-03
  1.82843342e-03  1.57008890e-03]","[[-469.60840055 -457.35714805 -452.83469506 ... -469.52241621
  -469.61801919 -484.43373179]
 [ 119.93000081  134.2106078   138.51006915 ...  118.6899585
   118.85011513  101.39429768]
 [  68.61576656   75.7236068    75.82920713 ...   65.70825357
    66.18317257   56.60339538]
 ...
 [   6.33366845    7.09400543    5.88132656 ...    3.97496247
     4.83710924    0.92950774]
 [   2.68877174    5.1904877     8.4916349  ...    4.7042369
     3.66874486   -1.6563717 ]
 [   2.56719686    6.08883294   12.13966149 ...    5.787793
     2.51852679   -2.37049251]]"
Bunlabelledtest__117_1306262456650_B1.wav,"[-0.0067069  -0.00684883 -0.00697533 ... -0.00586396 -0.00451593
 -0.00315625]","[[-492.97396518 -493.27358338 -488.88102706 ... -456.02407717
  -473.28017008 -481.12744829]
 [ 128.26092598  143.7059634   151.20958578 ...  193.40244542
   168.19225588  156.80797619]
 [  50.82772598   75.17035941   83.20668912 ...  115.18779806
    89.8552521    78.89801296]
 ...
 [   9.54266282    4.76350837    2.48126993 ...    5.61864225
    12.05571611    9.27326659]
 [   8.30884536    3.66879451    3.4067246  ...    8.72780659
    11.25345411    7.29240094]
 [   5.88890298    1.66963655    4.5917239  ...    8.92407362
     7.5128315     2.26667262]]"
Bunlabelledtest__118_1306262335509_A.wav,"[-0.0018747  -0.00128742 -0.00070982 ... -0.00195025 -0.00124684
 -0.00051297]","[[-4.24182666e+02 -4.09820539e+02 -4.27270636e+02 ... -4.27136097e+02
  -4.26314024e+02 -4.26152985e+02]
 [ 1.43827386e+02  1.59591947e+02  1.35931901e+02 ...  1.36226853e+02
   1.36999448e+02  1.37592780e+02]
 [ 9.17957478e+01  9.74708096e+01  7.76240053e+01 ...  7.81364284e+01
   7.83757953e+01  7.95367198e+01]
 ...
 [ 1.77319810e-01 -1.12419104e+00 -3.08215331e+00 ... -1.05491867e+01
  -6.25043428e+00 -8.18550130e+00]
 [ 1.10094035e+00  1.67449734e+00  1.03683314e-01 ... -6.74085152e+00
  -5.03275486e+00 -4.06224762e+00]
 [ 1.37633517e+00  3.28708228e+00  3.95325407e+00 ...  4.76032518e-03
  -1.95129104e+00  1.18085972e+00]]"
Bunlabelledtest__118_1306262335509_A1.wav,"[-0.00194516 -0.00179777 -0.00163474 ...  0.00042769  0.00099782
  0.00156149]","[[-438.60927667 -420.47378512 -415.67581536 ... -372.08409193
  -391.63729775 -432.46235712]
 [ 120.57821236  140.22092277  146.70934674 ...  195.81580003
   173.539547    126.20600961]
 [  75.62066413   82.03976065   87.46431565 ...  107.35022872
    97.26388198   74.60209481]
 ...
 [  -5.73810782   -7.60976879   -6.81454483 ...   -7.81616415
   -10.14276017   -6.45991273]
 [  -2.6391207    -2.38316694   -4.44604025 ...   -2.44052847
    -4.47531452   -3.64538633]
 [   2.86470471    2.92393787   -1.40218925 ...    2.03825453
     2.42179835    1.27451707]]"
Bunlabelledtest__118_1306262335509_C2.wav,[0.00573145 0.00588217 0.00600913 ... 0.06433736 0.05783775 0.05145931],"[[-4.77183106e+02 -4.67173596e+02 -4.35567568e+02 ... -4.85155846e+02
  -4.30621945e+02 -3.08660917e+02]
 [ 1.54106801e+02  1.75945340e+02  2.16528507e+02 ...  1.54989336e+02
   1.90027175e+02  1.62433412e+02]
 [ 6.72380178e+01  9.02809151e+01  1.20489608e+02 ...  7.93428599e+01
   7.84035550e+01  6.37683496e+01]
 ...
 [-4.64016189e+00  1.44765173e+00  2.56240770e-01 ... -4.13002312e+00
  -5.29499943e+00  1.14693175e+00]
 [-3.94496767e+00  4.15617862e+00  5.96149160e+00 ... -4.14459767e-02
  -2.30548778e+00  7.37810327e-01]
 [ 2.40777831e+00  5.32825078e+00  7.45800546e+00 ...  2.98763131e+00
   2.50978489e+00  2.15263863e+00]]"
Bunlabelledtest__121_1306263877235_B.wav,"[ 0.00232932  0.00160269  0.0008754  ...  0.00096505  0.00031834
 -0.00035813]","[[-505.60120836 -489.14997581 -488.62027401 ... -505.93423383
  -505.9294745  -517.22049592]
 [ 156.76742613  178.18721068  178.05769695 ...  157.09305166
   156.23069124  141.75204216]
 [  83.60494385   98.08262857   96.34432524 ...   83.88132282
    81.28991274   71.01370039]
 ...
 [  -5.34595215   -4.00066861   -3.70742596 ...    1.73056952
     1.6021586     0.52965355]
 [  -1.9342299     1.01311466    1.83588356 ...    2.24401021
     1.2438257    -0.725221  ]
 [   1.19489367    1.79785042    2.1927797  ...    1.32744673
    -0.639223     -3.25710957]]"
Bunlabelledtest__122_1306325762831_A.wav,"[2.68373883e-02 2.86465682e-02 3.03349341e-02 ... 1.95516373e-03
 1.02495823e-03 6.47675131e-05]","[[-367.72353682 -402.91292941 -459.90907582 ... -494.89064312
  -498.19352041 -502.35804257]
 [ 146.90670151  184.42109171  194.81362176 ...  157.8775307
   153.14270558  144.72741787]
 [  47.24973841   62.96576777  109.54489307 ...  100.58536042
    95.64122771   83.08472839]
 ...
 [  10.31290025   10.14711408    3.50211417 ...    7.55173822
     5.82082821    8.87193683]
 [   6.33631313    8.28760057    8.39128199 ...    5.4337787
     5.90366363    9.62750179]
 [   5.96835458   10.62223303   12.96794872 ...    2.78361761
     4.97549032    7.78085832]]"
Bunlabelledtest__122_1306325762831_B.wav,"[ 0.02416979  0.02538153  0.02655381 ... -0.02254612 -0.01985415
 -0.01711136]","[[-3.63004919e+02 -3.92838937e+02 -4.25657804e+02 ... -4.83517400e+02
  -4.86340197e+02 -4.57684761e+02]
 [ 1.62032753e+02  1.95717853e+02  1.91714223e+02 ...  1.29662289e+02
   1.24794984e+02  1.41054403e+02]
 [ 5.01509477e+01  7.01602947e+01  9.87841328e+01 ...  8.13519868e+01
   7.46699828e+01  5.99397491e+01]
 ...
 [ 2.12456981e+00  2.26542808e+00  5.46224879e+00 ...  1.30636956e+01
   7.60720179e+00  8.89534915e+00]
 [ 2.91345190e-02  1.91132725e+00  8.89031681e+00 ...  1.38268031e+01
   8.62006499e+00  7.52634580e+00]
 [ 5.11889113e-01  2.58895291e+00  8.86976684e+00 ...  1.31576234e+01
   9.07463389e+00  6.30503752e+00]]"
Bunlabelledtest__123_1306331925797_A.wav,[0.0206095  0.02080069 0.02108405 ... 0.29918962 0.32699381 0.35969611],"[[-3.43456145e+02 -3.31316364e+02 -3.19510074e+02 ... -3.33405263e+02
  -2.57839817e+02 -1.03847987e+02]
 [ 1.43240961e+02  1.63266858e+02  1.75768898e+02 ...  1.58204004e+02
   1.90136272e+02  1.61796969e+02]
 [ 8.35658487e+01  1.02254637e+02  1.05172902e+02 ...  9.27023799e+01
   5.95750545e+01  4.03769827e+01]
 ...
 [-1.42765724e+00 -8.14937967e+00 -5.46191202e+00 ... -6.26295457e-01
   4.00434963e+00  5.04613203e+00]
 [-1.88276723e+00 -6.94510261e+00 -3.97699862e+00 ... -1.57851660e-01
   2.64136766e+00  3.50018365e+00]
 [-6.21835318e-01 -1.70712198e+00  1.32567528e+00 ...  3.08263702e+00
   3.37099992e+00  2.61511091e+00]]"
Bunlabelledtest__123_1306331925797_D.wav,"[ 0.00625644  0.00541853  0.00454745 ... -0.36817729 -0.34663273
 -0.32590283]","[[-366.08131592 -334.2444948  -332.32538763 ... -312.83263892
  -261.0132123  -148.17053735]
 [  85.89582781  122.90653696  124.25461618 ...  145.72056644
   154.31009607  128.13606416]
 [  64.15431027   82.30626019   80.56617879 ...   87.48490158
    55.17060537   42.1766607 ]
 ...
 [   6.72049772    6.03294803    6.35770542 ...    7.7494119
    12.20926173    8.08146959]
 [   4.7090356     3.58006354    4.37234886 ...    4.33751682
     6.79808581    5.93189375]
 [   5.21966446    4.35144611    5.1330531  ...    6.30446102
     4.63083573    3.85459324]]"
Bunlabelledtest__125_1306332456645_B2.wav,[0.00131114 0.00184868 0.00240263 ... 0.08615291 0.07594929 0.06556392],"[[-4.76300124e+02 -4.42427190e+02 -4.25647892e+02 ... -4.16973721e+02
  -4.14443408e+02 -2.97577407e+02]
 [ 1.60885479e+02  1.96145773e+02  2.19060853e+02 ...  2.29728542e+02
   2.34370676e+02  2.07712631e+02]
 [ 9.10733705e+01  9.90243599e+01  1.19361004e+02 ...  1.25334528e+02
   1.32000563e+02  7.89638287e+01]
 ...
 [ 7.23444342e+00  8.40581502e+00  2.45591804e+00 ... -9.03672588e+00
  -6.88726799e+00 -5.71167622e-01]
 [ 3.29292344e+00  4.75110019e+00  1.27281973e+00 ... -8.42337186e+00
  -5.08472396e+00 -5.68770558e-01]
 [ 1.97161071e+00 -4.05382106e-01 -2.60626284e-01 ... -6.50506709e+00
  -8.48295007e-01  2.12728363e+00]]"
Bunlabelledtest__126_1306777102824_C1.wav,"[ 0.00169708  0.00056405 -0.00052205 ... -0.00497764 -0.00429971
 -0.00362534]","[[-4.57657601e+02 -4.41907819e+02 -4.37307483e+02 ... -4.32865454e+02
  -4.36413371e+02 -4.44120453e+02]
 [ 1.14287539e+02  1.32654000e+02  1.38632961e+02 ...  1.44300977e+02
   1.39999414e+02  1.31037488e+02]
 [ 6.00050179e+01  6.94320538e+01  7.40176178e+01 ...  7.76568017e+01
   7.47404682e+01  7.03528607e+01]
 ...
 [-4.22768057e+00 -1.83850789e+00  3.93800938e+00 ...  1.27399559e+00
   6.49374559e-01  3.26658190e-02]
 [-8.68751433e-01  2.83129710e+00  5.38434322e+00 ...  5.23264522e+00
   6.59370351e+00  3.94109122e+00]
 [ 4.75335837e+00  7.98543089e+00  7.73018545e+00 ...  8.81349650e+00
   1.20165848e+01  8.06957776e+00]]"
Bunlabelledtest__126_1306777102824_D1.wav,"[ 0.0117616   0.01101036  0.01029999 ... -0.01036028 -0.00919775
 -0.00802737]","[[-3.97245272e+02 -3.97545375e+02 -3.98621257e+02 ... -4.29358146e+02
  -4.31432711e+02 -4.30309057e+02]
 [ 1.59688537e+02  1.71742156e+02  1.71555062e+02 ...  1.35378244e+02
   1.33492467e+02  1.33853003e+02]
 [ 7.37288974e+01  9.55734638e+01  9.76961107e+01 ...  7.93093849e+01
   7.97761617e+01  7.76495418e+01]
 ...
 [ 2.68975844e-01  1.43509336e+00  3.01241116e+00 ...  5.25294451e+00
   9.78884345e-01  2.73202872e+00]
 [-3.32120578e+00 -1.85256851e+00  3.85504385e-02 ...  7.75248117e+00
   3.03276902e+00  2.64615493e+00]
 [-6.16451368e+00 -5.89257180e+00 -2.38754877e+00 ...  9.09147079e+00
   6.55734916e+00  4.42972640e+00]]"
